categoria,pregunta,respuesta_correcta,opcion_1,opcion_2,opcion_3
"Cultura Nerd","En el cómic 'Watchmen', ¿qué personaje dice la frase 'Who watches the watchmen?'?","Rorschach","Dr. Manhattan","El Comediante","Ozymandias"
"Cultura Nerd","¿Qué significa la sigla 'RPG' en el mundo de los videojuegos?","Role-Playing Game (Juego de Rol)","Real-time Pointing Game","Racing Performance Game","Rapid Paced Gameplay"
"Cultura Nerd","¿En 'Sailor Moon', cuál es el nombre real de la protagonista?","Usagi Tsukino","Ami Mizuno","Rei Hino","Makoto Kino"
"Cultura Nerd","¿Cuál de estos es un famoso sistema operativo basado en el núcleo Linux?","Ubuntu","Windows 10","macOS","iOS"
"Cultura Nerd","¿En la película 'Blade Runner', a qué se dedican los 'blade runners'?","A 'retirar' androides replicantes","A viajar en el tiempo","A colonizar Marte","A combatir una invasión alienígena"
"Cultura Nerd","¿Qué es 'Ethernet'?","Una tecnología para redes de área local (LAN)","Un tipo de memoria de computadora","Un cable de alimentación","Un sistema operativo de red"
"Cultura Nerd","En 'Mortal Kombat', ¿cuál es la famosa frase de Scorpion?","Get over here!","Finish Him!","Toasty!","Fatality"
"Cultura Nerd","¿Qué es 'Darth Vader' en la saga de Star Wars?","Un Lord Sith","Un Maestro Jedi","Un cazarrecompensas","Un piloto rebelde"
"Cultura Nerd","¿Cuál es el nombre del mayordomo y figura paterna de Batman?","Alfred Pennyworth","James Gordon","Lucius Fox","Robin"
"Cultura Nerd","En el juego 'Among Us', ¿cuál es el objetivo de los tripulantes?","Completar tareas y descubrir al impostor","Sabotear la nave","Eliminar a todos los demás","Reparar el motor lo más rápido posible"
"Cultura Nerd","¿Qué es un 'Firewall' o 'Cortafuegos' en seguridad informática?","Una barrera que controla el tráfico de red","Un tipo de antivirus","Un programa para eliminar spyware","Un sistema de enfriamiento para servidores"
"Cultura Nerd","En la serie 'The Big Bang Theory', ¿cuál es el trabajo principal de Sheldon Cooper?","Físico Teórico","Ingeniero Aeroespacial","Astrofísico Experimental","Microbiólogo"
"Cultura Nerd","¿Qué es 'La Comarca' (The Shire) en el universo de 'El Señor de los Anillos'?","La región donde viven los Hobbits","La capital de Gondor","La fortaleza de Sauron","El bosque de los Elfos"
"Cultura Nerd","¿En el videojuego 'Portal', cuál es el nombre de la inteligencia artificial que guía y antagoniza al jugador?","GLaDOS","SHODAN","Cortana","Siri"
"Cultura Nerd","¿Cuál de estos NO es un lenguaje de marcado, sino de estilos?","CSS","HTML","XML","SVG"
"Cultura Nerd","En el universo de 'The Witcher', ¿cuál es el nombre del caballo de Geralt?","Sardinilla","Pegaso","Bucéfalo","Sombragrís"
"Cultura Nerd","¿Qué es el 'Tesseract' en el Universo Cinematográfico de Marvel?","Un contenedor para la Gema del Espacio","El martillo de Thor","El corazón de Iron Man","Un arma de Hydra"
"Cultura Nerd","¿En el anime 'Death Note', qué necesita el protagonista para matar a alguien?","El nombre y el rostro de la persona","Solo el nombre","Una muestra de ADN","La fecha de nacimiento"
"Cultura Nerd","¿Qué es un 'fork' en el contexto de plataformas como GitHub?","Crear una copia personal de un repositorio ajeno","Eliminar un proyecto","Fusionar dos ramas de código","Reportar un error"
"Cultura Nerd","¿Qué personaje de 'Star Wars' es un cazarrecompensas mandaloriano?","Boba Fett","Han Solo","Chewbacca","Lando Calrissian"
"Cultura Nerd","¿Cuál es el propósito del 'Sombrero Seleccionador' en Hogwarts?","Asignar a los estudiantes a una de las cuatro casas","Elegir al campeón de Quidditch","Decidir quién es el prefecto","Enseñar hechizos a los alumnos"
"Cultura Nerd","¿Qué es 'doxxing' en la cultura de internet?","Publicar información privada de alguien sin su consentimiento","Enviar spam por correo electrónico","Crear un perfil falso","Hackear una cuenta"
"Cultura Nerd","En la saga de videojuegos 'Mass Effect', ¿cuál es el nombre del protagonista principal?","Comandante Shepard","Capitán Anderson","Garrus Vakarian","Thane Krios"
"Cultura Nerd","¿Quién es el autor del webcomic 'xkcd'?","Randall Munroe","Matthew Inman","Kate Beaton","Allie Brosh"
"Cultura Nerd","¿Qué es 'ASCII'?","Un estándar de codificación de caracteres para la comunicación electrónica","Un tipo de encriptación","Un protocolo de transferencia de archivos","Una marca de teclados"
"Cultura Nerd","¿Qué personaje de DC Comics es conocido como el 'Velocista Escarlata'?","Flash","Superman","Batman","Aquaman"
"Cultura Nerd","En el juego de mesa 'Catan', ¿qué recurso es esencial para construir ciudades?","Mineral (mena)","Madera","Ladrillo","Ovejas"
"Cultura Nerd","¿Cuál es el nombre del protagonista de la serie de anime 'Cowboy Bebop'?","Spike Spiegel","Jet Black","Vicious","Edward Wong"
"Cultura Nerd","¿Qué es un 'bug' en programación?","Un error o defecto en el código","Una característica oculta","Un comentario del programador","Una variable global"
"Cultura Nerd","¿En la mitología de H.P. Lovecraft, quién es el gran sacerdote de los Primigenios?","Cthulhu","Nyarlathotep","Azathoth","Yog-Sothoth"
"Cultura Nerd","¿Qué es 'Steam'?","Una plataforma de distribución digital de videojuegos para PC","Una consola de videojuegos","Un servicio de streaming de películas","Una red social para gamers"
"Cultura Nerd","¿Cuál es el nombre del superhéroe ciego de Marvel que vive en Hell's Kitchen?","Daredevil","Iron Fist","Luke Cage","Jessica Jones"
"Cultura Nerd","En la serie 'Futurama', ¿cuál es el nombre del robot alcohólico y cleptómano?","Bender","Calculon","Flexo","Robot Devil"
"Cultura Nerd","¿Qué es una 'API' (Interfaz de Programación de Aplicaciones)?","Un conjunto de reglas para que diferentes programas se comuniquen entre sí","Una aplicación de inteligencia artificial","Un protocolo de internet","Un analizador de paquetes de información"
"Cultura Nerd","¿En 'Calabozos y Dragones', qué característica representa la agilidad y los reflejos de un personaje?","Destreza","Fuerza","Constitución","Inteligencia"
"Cultura Nerd","¿Qué videojuego popularizó el género 'Battle Royale' a nivel masivo?","PUBG: Battlegrounds","Fortnite","H1Z1","Apex Legends"
"Cultura Nerd","¿Cuál es el nombre del archienemigo de los 'X-Men'?","Magneto","Dr. Doom","Red Skull","Thanos"
"Cultura Nerd","En el anime 'Fullmetal Alchemist', ¿cuál es la ley principal de la alquimia?","La ley del Intercambio Equivalente","La ley de la Transmutación Humana","La ley de la Piedra Filosofal","La ley de la Conservación de la Materia"
"Cultura Nerd","¿Qué es 'HTTPS'?","Un protocolo de transferencia de hipertexto seguro (encriptado)","Un lenguaje de programación","Un tipo de servidor web","Un formato de imagen"
"Cultura Nerd","¿En 'World of Warcraft', cuál de estas NO es una de las facciones principales?","El Dominio Aldmeri","La Horda","La Alianza","Los Renegados"
"Cultura Nerd","¿Qué personaje de videojuegos es un arqueólogo británico?","Lara Croft","Nathan Drake","Indiana Jones","Benjamin Gates"
"Cultura Nerd","¿Cuál es el nombre del autor de la saga de cómics 'The Sandman'?","Neil Gaiman","Alan Moore","Frank Miller","Grant Morrison"
"Cultura Nerd","En la serie 'Rick y Morty', ¿cuál es la frase característica de Rick?","Wubba Lubba Dub Dub!","¡Y así es como se obtiene la noticia!","¡Oh, cielos!","¡Soy el hombre más inteligente del universo!"
"Cultura Nerd","¿Qué es un 'easter egg' (huevo de pascua) en un videojuego o software?","Un mensaje o función oculta","Un error que cierra el programa","Un nivel de bonificación","Un personaje secreto"
"Cultura Nerd","¿Qué personaje de 'League of Legends' es conocido como 'El Demonio de la Velocidad'?","Teemo","Yasuo","Jinx","Zed"
"Cultura Nerd","¿Qué es el 'código máquina'?","El lenguaje de nivel más bajo que una computadora puede ejecutar directamente","Un código de barras","Un algoritmo de encriptación","El código fuente de un programa"
"Cultura Nerd","¿Cuál es el nombre del mayordomo de la familia Joestar en las primeras partes de 'Jojo's Bizarre Adventure'?","Robert E. O. Speedwagon","Will A. Zeppeli","Straizo","Dire"
"Cultura Nerd","¿Qué es un 'ISP'?","Proveedor de Servicios de Internet","Protocolo de Seguridad Interno","Interfaz de Software de Programa","Impresora de Sistema Paralelo"
"Cultura Nerd","¿En el videojuego 'Red Dead Redemption 2', ¿quién es el protagonista principal?","Arthur Morgan","John Marston","Dutch van der Linde","Micah Bell"
"Cultura Nerd","¿Qué personaje de Marvel es el rey de la nación africana de Wakanda?","T'Challa / Black Panther","Sam Wilson / Capitán América","Bucky Barnes / Soldado de Invierno","Namor / Sub-Mariner"
"Cultura Nerd","¿Qué es 'open source' o 'código abierto'?","Software cuyo código fuente está disponible para que cualquiera lo vea y modifique","Software gratuito","Software de prueba (beta)","Software sin licencia"
"Cultura Nerd","En el anime 'My Hero Academia', ¿cómo se llaman los superpoderes que tiene la mayoría de la población?","Quirks (Dones)","Nen","Stands","Ki"
"Cultura Nerd","¿Cuál de estos es un sistema de gestión de bases de datos relacional?","MySQL","MongoDB","Redis","Cassandra"
"Cultura Nerd","¿En el universo de 'Warhammer 40,000', quién es el Emperador de la Humanidad?","Un ser psíquico milenario en el Trono Dorado","Un general elegido democráticamente","El líder del Culto de las Máquinas","Un dios del Caos"
"Cultura Nerd","¿Qué es una 'cookie' en el contexto de la navegación web?","Un pequeño archivo de datos que un sitio web almacena en tu navegador","Un virus publicitario","Un script de seguimiento","Un certificado de seguridad"
"Cultura Nerd","¿Cuál es el nombre del protagonista del videojuego 'God of War'?","Kratos","Zeus","Ares","Hades"
"Cultura Nerd","¿Quién es el creador de la serie de videojuegos 'Metal Gear Solid'?","Hideo Kojima","Shigeru Miyamoto","Yuji Naka","Shinji Mikami"
"Cultura Nerd","¿Qué es 'La Fuerza' en 'Star Wars'?","Un campo de energía metafísico que une a todos los seres vivos","Una habilidad para levantar objetos pesados","Una organización de espías","El poder del lado oscuro"
"Cultura Nerd","En el anime 'One-Punch Man', ¿cuál es el 'poder' del protagonista Saitama?","Puede derrotar a cualquier enemigo con un solo golpe","Puede volar a la velocidad de la luz","Puede regenerarse de cualquier herida","Puede controlar el tiempo"
"Cultura Nerd","¿Qué es un 'algoritmo'?","Un conjunto de instrucciones paso a paso para resolver un problema","Un lenguaje de programación","Un componente de hardware","Una red de computadoras"
"Cultura Nerd","¿En 'Los Vengadores', qué personaje es un super espía sin superpoderes?","Black Widow (Natasha Romanoff)","Scarlet Witch (Wanda Maximoff)","Captain Marvel (Carol Danvers)","The Wasp (Hope van Dyne)"
"Cultura Nerd","¿Cuál de estos es un popular motor de videojuegos?","Unreal Engine","Adobe Photoshop","Blender","Visual Studio"
"Cultura Nerd","¿En el videojuego 'Undertale', cómo puedes terminar el juego sin matar a ningún monstruo?","Perdonando (sparing) a todos los enemigos","Huyendo de todas las batallas","Usando un solo tipo de ataque","Encontrando un final secreto"
"Cultura Nerd","¿Qué es el 'Ciberespacio', un término popularizado por el escritor William Gibson?","Una red de computadoras interconectadas en la que se experimenta una realidad virtual","El espacio exterior","El interior de una computadora","Un universo paralelo"
"Cultura Nerd","¿Cuál es el nombre del archienemigo de Batman, conocido como el 'Príncipe Payaso del Crimen'?","Joker","Pingüino","Acertijo","Dos Caras"
"Cultura Nerd","¿Qué es la 'Ley de Moore'?","Una observación de que el número de transistores en un chip se duplica aproximadamente cada dos años","Una ley de la termodinámica","Un principio de la criptografía","Una teoría sobre la inteligencia artificial"
"Cultura Nerd","En el juego de cartas 'Hearthstone', ¿cuántos puntos de vida tiene un héroe al empezar la partida?","30","20","50","100"
"Cultura Nerd","¿Qué personaje de 'Guardianes de la Galaxia' es un árbol humanoide que solo dice una frase?","Groot","Rocket Raccoon","Drax el Destructor","Star-Lord"
"Cultura Nerd","¿Qué es 'CSS Grid'?","Un sistema de maquetación para diseñar páginas web en dos dimensiones","Una librería de JavaScript","Un framework para aplicaciones móviles","Un tipo de base de datos"
"Cultura Nerd","¿En la serie 'Black Mirror', de qué tratan principalmente sus episodios?","De los peligros y consecuencias imprevistas de las nuevas tecnologías","De conspiraciones gubernamentales","De invasiones alienígenas","De dramas históricos"
"Cultura Nerd","¿Qué es 'Kame Hame Ha'?","Una técnica de energía en 'Dragon Ball'","El nombre del planeta de los Saiyajin","Un platillo de comida japonesa","El maestro de Goku"
"Cultura Nerd","¿Cuál es el nombre del protagonista del videojuego 'Final Fantasy VII'?","Cloud Strife","Zack Fair","Tidus","Squall Leonhart"
"Cultura Nerd","¿Qué es un 'Proxy Server'?","Un servidor que actúa como intermediario entre un cliente y otro servidor","Un servidor de correo electrónico","Un servidor de juegos","Un servidor de respaldo"
"Cultura Nerd","En el universo de 'DC Comics', ¿a qué ciudad protege Batman?","Gotham City","Metropolis","Central City","Star City"
"Cultura Nerd","¿Qué es la 'compresión de datos sin pérdida' (lossless)?","Un método que reduce el tamaño de un archivo sin descartar información","Un método que elimina datos para reducir el tamaño","Un tipo de encriptación","Una forma de hacer copias de seguridad"
"Cultura Nerd","¿Cuál de estos NO es un planeta en el sistema solar de 'Star Wars'?","Krypton","Tatooine","Coruscant","Naboo"
"Cultura Nerd","¿Qué es 'JavaScript'?","Un lenguaje de programación principalmente usado para la interactividad en páginas web","Una versión simple de Java","Un estilo de escritura para documentos","Un sistema operativo"
"Cultura Nerd","¿En el videojuego 'The Last of Us', cuál es la causa de la pandemia que asola el mundo?","Una infección fúngica (Cordyceps)","Un virus creado en laboratorio","Una plaga zombi de origen desconocido","Una guerra nuclear"
"Cultura Nerd","¿Quién es el autor de las novelas de 'Canción de Hielo y Fuego', en las que se basa 'Juego de Tronos'?","George R. R. Martin","J. R. R. Tolkien","Andrzej Sapkowski","Patrick Rothfuss"
"Cultura Nerd","¿Qué es un 'IDE' (Entorno de Desarrollo Integrado)?","Un programa que proporciona herramientas completas para el desarrollo de software","Un tipo de microchip","Una interfaz de disco duro","Una red de desarrolladores"
"Cultura Nerd","¿En el anime 'Jujutsu Kaisen', qué son las 'maldiciones'?","Monstruos nacidos de la energía negativa de los humanos","Hechizos mágicos","Objetos con poderes especiales","Pactos con demonios"
"Cultura Nerd","¿Qué es el 'Kernel' de un sistema operativo?","El núcleo central que gestiona los recursos del sistema","La interfaz gráfica de usuario","El sistema de archivos","El gestor de arranque"
"Cultura Nerd","¿Cuál es el nombre del protagonista principal de la saga de videojuegos 'Uncharted'?","Nathan Drake","Lara Croft","Joel Miller","Sam Fisher"
"Cultura Nerd","¿En 'El Señor de los Anillos', qué es el 'Anillo Único'?","Un anillo creado por Sauron para controlar a los demás anillos de poder","Un anillo que concede la inmortalidad","Un anillo que permite viajar en el tiempo","El anillo de bodas de Galadriel"
"Cultura Nerd","¿Qué es un 'firewall de hardware'?","Un dispositivo físico que se interpone entre una red local e internet","Un programa antivirus","Un sistema de refrigeración","Una fuente de alimentación"
"Cultura Nerd","¿Qué personaje de los X-Men tiene el poder de controlar el clima?","Storm (Tormenta)","Jean Grey","Cyclops (Cíclope)","Wolverine"
"Cultura Nerd","¿Qué es 'TCP/IP'?","El conjunto de protocolos fundamentales de Internet","Un lenguaje de encriptación","Un tipo de cable de red","Una compañía de telecomunicaciones"
"Cultura Nerd","¿En el videojuego 'Elden Ring', cómo se conoce al personaje del jugador?","Tarnished (Sinluz)","Ashen One (Ser de la Ceniza)","Chosen Undead (No Muerto Elegido)","Hunter (Cazador)"
"Cultura Nerd","¿Quién es el creador de la serie animada 'Gravity Falls'?","Alex Hirsch","Pendleton Ward","Rebecca Sugar","Dan Povenmire"
"Cultura Nerd","¿Qué es la 'Realidad Aumentada' (AR)?","Una tecnología que superpone imágenes generadas por computadora sobre el mundo real","Una inmersión total en un mundo virtual","Un tipo de holograma","Una simulación por computadora"
"Cultura Nerd","¿Qué es la 'trifuerza' en la saga de 'The Legend of Zelda'?","Una reliquia sagrada que representa Poder, Sabiduría y Valor","La espada de Link","Un hechizo de protección","La moneda del reino de Hyrule"
"Peliculas y Series","¿Quién es el director de la trilogía 'El Señor de los Anillos'?","Peter Jackson","Steven Spielberg","James Cameron","Christopher Nolan"
"Peliculas y Series","En 'Breaking Bad', ¿cuál es el alias de Walter White?","Heisenberg","Jesse","Gus","Saul"
"Peliculas y Series","¿Qué película ganó el primer Óscar a la Mejor Película de Animación?","Shrek","Toy Story","Monsters, Inc.","El viaje de Chihiro"
"Peliculas y Series","¿Cuál es el nombre del protagonista de la saga 'Matrix'?","Neo","Morfeo","Trinity","Agente Smith"
"Peliculas y Series","¿En qué serie de televisión aparece la frase 'Winter is Coming'?","Juego de Tronos","The Witcher","Vikingos","The Last Kingdom"
"Peliculas y Series","¿Quién dirigió las películas 'Pulp Fiction' y 'Kill Bill'?","Quentin Tarantino","Martin Scorsese","David Fincher","Francis Ford Coppola"
"Peliculas y Series","¿Cuál es el nombre de la inteligencia artificial en la película '2001: Odisea del espacio'?","HAL 9000","Skynet","VIKI","GLaDOS"
"Peliculas y Series","¿Qué actor interpreta a Iron Man en el Universo Cinematográfico de Marvel?","Robert Downey Jr.","Chris Evans","Chris Hemsworth","Mark Ruffalo"
"Peliculas y Series","¿En la serie 'Friends', dónde trabaja Chandler Bing durante la mayor parte de la serie?","En procesamiento de datos","Como actor","Como chef","Como paleontólogo"
"Peliculas y Series","¿Qué película de Disney fue la primera en ser lanzada en formato de largometraje?","Blancanieves y los siete enanitos","Pinocho","Fantasía","Dumbo"
"Peliculas y Series","¿Cuál es el nombre del actor que interpreta a Jack Sparrow?","Johnny Depp","Orlando Bloom","Geoffrey Rush","Keira Knightley"
"Peliculas y Series","En 'Star Wars', ¿cuál es la famosa frase que Darth Vader le dice a Luke Skywalker?","No, yo soy tu padre","Luke, yo soy tu padre","La fuerza es intensa en ti","Únete al lado oscuro"
"Peliculas y Series","¿Qué serie sigue las aventuras de un profesor de química que empieza a producir metanfetamina?","Breaking Bad","The Sopranos","The Wire","Ozark"
"Peliculas y Series","¿Quién es el director de 'El Padrino'?","Francis Ford Coppola","Martin Scorsese","Alfred Hitchcock","Stanley Kubrick"
"Peliculas y Series","¿Cuál es el nombre del payaso asesino en la novela 'It' de Stephen King?","Pennywise","Joker","Krusty","Twisty"
"Peliculas y Series","¿Qué director es famoso por películas como 'Tiburón', 'E.T.' y 'Jurassic Park'?","Steven Spielberg","George Lucas","James Cameron","Martin Scorsese"
"Peliculas y Series","En la saga 'Matrix', ¿qué píldora elige tomar Neo?","La píldora roja","La píldora azul","La píldora verde","La píldora amarilla"
"Peliculas y Series","¿Qué película argentina ganó el Oscar a la Mejor Película Extranjera en 2010?","El Secreto de sus Ojos","Relatos Salvajes","Nueve Reinas","El Hijo de la Novia"
"Peliculas y Series","En la serie 'Game of Thrones', ¿cómo se llama la capital donde se encuentra el Trono de Hierro?","Desembarco del Rey","Invernalia","Roca Casterly","Nido de Águilas"
"Peliculas y Series","¿Cuál es la famosa frase de Joey en la serie 'Friends'?","How you doin'?","It's gonna be legen-dary","Bazinga!","I've made a huge mistake"
"Peliculas y Series","¿Qué actor interpretó al Joker en la película 'The Dark Knight' (2008)?","Heath Ledger","Jack Nicholson","Joaquin Phoenix","Jared Leto"
"Peliculas y Series","¿Cuál fue la primera película de Pixar en ser lanzada?","Toy Story","Bichos: Una aventura en miniatura","Monsters, Inc.","Buscando a Nemo"
"Peliculas y Series","En la saga 'Harry Potter', ¿cuál de estos NO es uno de los tres objetos de las Reliquias de la Muerte?","La Espada de Gryffindor","La Varita de Saúco","La Capa de Invisibilidad","La Piedra de la Resurrección"
"Peliculas y Series","¿Qué serie de televisión narra la vida de la Reina Isabel II del Reino Unido?","The Crown","Downton Abbey","Victoria","The Tudors"
"Peliculas y Series","¿Quién dirigió la película 'Psicosis' (1960)?","Alfred Hitchcock","Stanley Kubrick","Orson Welles","Billy Wilder"
"Peliculas y Series","¿Cuál es el nombre del robot amigo de Wall-E en la película de Pixar?","EVA","R2-D2","BB-8","C-3PO"
"Peliculas y Series","En la serie 'La Casa de Papel', ¿cuál es el nombre del plan del Profesor?","El Plan Real","El Plan Valencia","El Plan Chernobyl","El Plan París"
"Peliculas y Series","¿Qué película de 1994 dirigida por Quentin Tarantino entrelaza varias historias criminales en Los Ángeles?","Pulp Fiction","Reservoir Dogs","Jackie Brown","Kill Bill"
"Peliculas y Series","¿Cuál es el nombre del protagonista de la serie animada 'Los Simpson'?","Homero Simpson","Bart Simpson","Ned Flanders","Moe Szyslak"
"Peliculas y Series","¿En qué película aparece la famosa frase 'Say hello to my little friend!'?","Caracortada (Scarface)","El Padrino","Buenos Muchachos","Casino"
"Peliculas y Series","¿Qué actor protagoniza la saga de acción 'John Wick'?","Keanu Reeves","Tom Cruise","Bruce Willis","Jason Statham"
"Peliculas y Series","¿Cuál es el nombre del actor que interpreta al Capitán América en el Universo Cinematográfico de Marvel?","Chris Evans","Chris Hemsworth","Chris Pratt","Robert Downey Jr."
"Peliculas y Series","En la serie 'Stranger Things', ¿cómo se llama la dimensión paralela y oscura?","El Mundo del Revés (The Upside Down)","El Vacío","La Zona Fantasma","El Otro Lado"
"Peliculas y Series","¿Qué película de Martin Scorsese ganó el Oscar a Mejor Película en 2007?","Los Infiltrados (The Departed)","El Aviador","El Lobo de Wall Street","Buenos Muchachos"
"Peliculas y Series","¿Cuál es el nombre del león protagonista de 'El Rey León'?","Simba","Mufasa","Scar","Nala"
"Peliculas y Series","En la serie 'The Office' (versión de EE.UU.), ¿quién es el gerente regional de Dunder Mifflin al principio?","Michael Scott","Jim Halpert","Dwight Schrute","Pam Beesly"
"Peliculas y Series","¿Qué película de ciencia ficción de 1982 fue dirigida por Ridley Scott y se ambienta en un Los Ángeles distópico?","Blade Runner","Alien","Terminator","RoboCop"
"Peliculas y Series","¿Cuál es el nombre del personaje de Ricardo Darín en la película argentina 'Nueve Reinas'?","Marcos","Juan","Román","Simón"
"Peliculas y Series","¿Qué serie dramática de HBO se centra en la familia mafiosa de Tony Soprano?","Los Soprano","The Wire","Boardwalk Empire","Oz"
"Peliculas y Series","¿En qué película de Stanley Kubrick un escritor se vuelve loco en un hotel aislado durante el invierno?","El Resplandor (The Shining)","2001: Odisea del espacio","La Naranja Mecánica","Barry Lyndon"
"Peliculas y Series","¿Cuál es el nombre del ogro verde protagonista de la saga de películas de DreamWorks?","Shrek","Fiona","Burro","Gato con Botas"
"Peliculas y Series","En la película 'Forrest Gump', ¿cuál es la famosa frase que dice la madre de Forrest sobre la vida?","La vida es como una caja de bombones","Corre, Forrest, corre","Tonto es el que hace tonterías","Eso es todo lo que tengo que decir al respecto"
"Peliculas y Series","¿Qué actor interpreta a Aragorn en la trilogía 'El Señor de los Anillos'?","Viggo Mortensen","Elijah Wood","Orlando Bloom","Sean Bean"
"Peliculas y Series","¿Cuál de estas series fue creada por Damián Szifron, director de 'Relatos Salvajes'?","Los Simuladores","Okupas","Tumberos","Casados con Hijos"
"Peliculas y Series","En la película 'Casablanca', ¿cuál es la famosa frase que Humphrey Bogart le dice a Ingrid Bergman?","Siempre nos quedará París","Tócala otra vez, Sam","De todos los bares del mundo...","Este es el comienzo de una gran amistad"
"Peliculas y Series","¿Qué serie de Netflix sigue a un grupo de niños en los años 80 que se enfrentan a sucesos paranormales?","Stranger Things","Dark","Black Mirror","The OA"
"Peliculas y Series","¿Quién es el director de la película 'Parásitos', ganadora del Oscar a Mejor Película en 2020?","Bong Joon-ho","Park Chan-wook","Kim Jee-woon","Lee Chang-dong"
"Peliculas y Series","¿Cuál es el nombre del protagonista en la saga 'Volver al Futuro'?","Marty McFly","Emmett Doc Brown","Biff Tannen","George McFly"
"Peliculas y Series","¿En qué película de Pixar, un robot de limpieza de basura es el último habitante de la Tierra?","WALL-E","Up","Ratatouille","Cars"
"Peliculas y Series","¿Cuál es el nombre del villano principal en la saga de 'Harry Potter'?","Lord Voldemort","Draco Malfoy","Severus Snape","Bellatrix Lestrange"
"Peliculas y Series","¿Qué serie de AMC cuenta la historia del apocalipsis zombi y sigue a Rick Grimes?","The Walking Dead","Fear the Walking Dead","Z Nation","Black Summer"
"Peliculas y Series","¿Qué actor es famoso por su papel de Neo en 'Matrix' y de John Wick?","Keanu Reeves","Laurence Fishburne","Hugo Weaving","Joe Pantoliano"
"Peliculas y Series","En la película 'El Silencio de los Inocentes', ¿quién es el brillante pero caníbal psiquiatra?","Hannibal Lecter","Buffalo Bill","Jack Crawford","Dr. Chilton"
"Peliculas y Series","¿Qué película animada de Disney cuenta la historia de una princesa guerrera china?","Mulan","Pocahontas","Moana","La Sirenita"
"Peliculas y Series","¿Cuál es el nombre del actor que interpreta a 'Thor' en las películas de Marvel?","Chris Hemsworth","Chris Evans","Tom Hiddleston","Mark Ruffalo"
"Peliculas y Series","¿Qué película de 1972 dirigida por Francis Ford Coppola es considerada una de las mejores de la historia del cine?","El Padrino","Apocalypse Now","La Conversación","Taxi Driver"
"Peliculas y Series","En la serie 'Seinfeld', ¿cuál de los personajes principales es el vecino excéntrico de Jerry?","Kramer","George","Elaine","Newman"
"Peliculas y Series","¿Quién compuso la icónica banda sonora de la saga 'Star Wars'?","John Williams","Hans Zimmer","Howard Shore","Ennio Morricone"
"Peliculas y Series","¿Qué película de Christopher Nolan trata sobre un equipo que entra en los sueños de las personas?","Inception (El Origen)","Interstellar","Tenet","The Prestige"
"Peliculas y Series","¿Cuál es el nombre del protagonista en la serie 'Peaky Blinders'?","Thomas Shelby","Arthur Shelby","John Shelby","Michael Gray"
"Peliculas y Series","¿Qué película de 1985 involucra un DeLorean modificado como máquina del tiempo?","Volver al Futuro","Terminator","Blade Runner","E.T."
"Peliculas y Series","En la serie animada 'BoJack Horseman', ¿qué tipo de animal es el protagonista?","Un caballo","Un perro","Un gato","Un oso"
"Peliculas y Series","¿Qué director argentino es conocido por películas como 'El Hijo de la Novia' y 'El Secreto de sus Ojos'?","Juan José Campanella","Damián Szifron","Pablo Trapero","Lucrecia Martel"
"Peliculas y Series","¿Cuál es la primera regla del 'Club de la Pelea' (Fight Club)?","No hablar del Club de la Pelea","Siempre usar guantes","La pelea termina cuando alguien se rinde","Solo dos personas por pelea"
"Peliculas y Series","En la serie 'The Big Bang Theory', ¿cuál es el nombre del interés amoroso principal de Sheldon?","Amy Farrah Fowler","Penny","Bernadette Rostenkowski","Priya Koothrappali"
"Peliculas y Series","¿Qué película de 1941 dirigida y protagonizada por Orson Welles es famosa por su innovadora estructura narrativa?","Ciudadano Kane","El cuarto mandamiento","Sed de mal","La dama de Shanghái"
"Peliculas y Series","¿Cuál es el nombre del protagonista de la serie de televisión 'Dexter'?","Dexter Morgan","Debra Morgan","James Doakes","Angel Batista"
"Peliculas y Series","En 'El Señor de los Anillos', ¿cómo se llama el mago blanco que lidera la Comunidad del Anillo al principio?","Gandalf","Saruman","Radagast","Alatar"
"Peliculas y Series","¿Qué película de Quentin Tarantino se divide en capítulos y sigue a una novia en busca de venganza?","Kill Bill","Pulp Fiction","Bastardos sin gloria","Django sin cadenas"
"Peliculas y Series","¿En qué ciudad transcurre la mayor parte de la serie 'Friends'?","Nueva York","Los Ángeles","Chicago","Seattle"
"Peliculas y Series","¿Qué actor interpreta a Tony Montana en la película 'Caracortada' (Scarface)?","Al Pacino","Robert De Niro","Joe Pesci","Marlon Brando"
"Peliculas y Series","¿Cuál es el nombre de la famosa academia de magia en la saga 'Harry Potter'?","Hogwarts","Beauxbatons","Durmstrang","Ilvermorny"
"Peliculas y Series","En la serie 'Lost' (Perdidos), ¿cuál es el número de vuelo del avión que se estrella en la isla?","Vuelo 815 de Oceanic","Vuelo 481 de Ajira","Vuelo 316 de Oceanic","Vuelo 108 de Apollo"
"Peliculas y Series","¿Qué película de ciencia ficción de James Cameron presenta a los Na'vi, una raza alienígena alta y de piel azul?","Avatar","Titanic","Aliens","Terminator 2"
"Peliculas y Series","En la serie 'Better Call Saul', ¿cuál es el nombre real del protagonista?","Jimmy McGill","Saul Goodman","Chuck McGill","Howard Hamlin"
"Peliculas y Series","¿Qué película de 1960 de Alfred Hitchcock es famosa por su escena de la ducha?","Psicosis","Los Pájaros","Vértigo","La Ventana Indiscreta"
